Individual Sample Species Site Loc Depth x y z clone clone_group Clusters
KP0768_HU_WP10 KP0768 HU WP10 WP 10 1.2990270881762 -26.900428460356 -8.82411584254968 hu.mlg non-clone AH3
KP0769_AC_WP10 KP0769 AC WP10 WP 10 0.922811828905182 -27.6417090206984 -7.93238660870554 ac.mlg non-clone AA1
KP0770_AC_WP10 KP0770 AC WP10 WP 10 1.11062156813529 -27.2477745361792 -8.10558073609637 clone 113_AH3 AH3
KP0771_AC_WP10 KP0771 AC WP10 WP 10 0.520400819012366 -27.730433965028 -8.36611374551839 ac.mlg non-clone AA2
KP0773_AC_WP10 KP0773 AC WP10 WP 10 0 -28.0153715175681 -8.46962456323582 ac.mlg non-clone AA2
KP0774_AC_WP10 KP0774 AC WP10 WP 10 0.980457349749978 -26.7413972053157 -8.72514204442039 hu.mlg non-clone AH2
KP0777_AC_WP10 KP0777 AC WP10 WP 10 1.85081705100819 -29.1097856871556 -9.13644013330439 ac.mlg non-clone AA2
KP0779_AC_WP10 KP0779 AC WP10 WP 10 1.52067764005912 -29.3061593577854 -9.15881701168668 ac.mlg non-clone AA2
KP0782_AC_WP10 KP0782 AC WP10 WP 10 10.2097355427893 -28.1502007156976 -10.0025869090864 clone 135_AA2 AA2
KP0783_HU_WP10 KP0783 HU WP10 WP 10 1.46070088635676 -27.6875679211557 -8.31872249842224 hu.mlg non-clone AH2
KP0785_AC_WP10 KP0785 AC WP10 WP 10 1.16447195597329 -27.4522712294138 -8.02988324770107 hu.mlg non-clone AH1
KP0786_HU_WP10 KP0786 HU WP10 WP 10 10.6103310745091 -27.766727152013 -10.4094266482427 hu.mlg non-clone AH3
KP0787_AC_WP10 KP0787 AC WP10 WP 10 11.0136633638207 -28.4301731194989 -10.3071089470671 ac.mlg non-clone AA2
KP0788_AC_WP10 KP0788 AC WP10 WP 10 10.3154927388185 -28.0423365149739 -10.0899713389805 clone 135_AA2 AA2
KP0789_HU_WP10 KP0789 HU WP10 WP 10 10.8156397731607 -28.3301815320685 -10.2444962551468 hu.mlg non-clone AH1
KP0790_AC_WP10 KP0790 AC WP10 WP 10 10.5530073609674 -27.9765926781201 -10.3054715118574 clone 191_AA2 AA2
KP0792_AC_WP10 KP0792 AC WP10 WP 10 10.0815199813682 -27.483117777796 -10.0684669897953 ac.mlg 191_AA2 AA2
KP0793_AC_WP10 KP0793 AC WP10 WP 10 10.438285272945 -28.9175109711346 -10.5242196068018 ac.mlg non-clone AA2
KP0794_AC_WP10 KP0794 AC WP10 WP 10 10.0481948609469 -27.8973901258544 -10.1096288251492 ac.mlg 135_AA2 AA2
KP0795_LM_WP10 KP0795 LM WP10 WP 10 10.0540001651356 -29.083391382016 -10.6015124011839 lm.mlg non-clone AL2
KP0796_AC_WP10 KP0796 AC WP10 WP 10 9.80555783066546 -28.0049738504515 -10.0981341240228 clone 135_AA2 AA2
KP0797_AC_WP10 KP0797 AC WP10 WP 10 10.1614281594208 -28.9149539087956 -10.4901625833782 ac.mlg non-clone AA2
KP0798_HU_WP10 KP0798 HU WP10 WP 10 9.87999195088333 -28.0031387023076 -10.0402295239856 clone 36_AH1 AH1
KP0799_AC_WP10 KP0799 AC WP10 WP 10 10.1047751236532 -28.7157493226022 -10.1932975579912 ac.mlg non-clone AA2
KP0800_AC_WP10 KP0800 AC WP10 WP 10 9.92155932094775 -28.005725856109 -9.96632653665557 clone 135_AA2 AA2
